STATE,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,NO_LANES,SP_LIMIT,FATALS,DRUNK_DR,LATITUDE,LONGITUD
1,5,6,17,40,1,2,2,70,1,0,34113558,85570167
1,5,7,13,25,2,3,2,55,1,1,33352463,86254048
1,5,7,18,0,1,1,2,45,1,0,33533713,87520275
1,5,9,11,45,1,2,2,45,1,0,32315429,85073539
1,5,9,19,0,2,3,2,50,1,0,31060661,86335346
1,5,9,15,30,3,5,2,50,1,0,34360383,87020543
1,5,10,16,25,1,1,2,45,1,0,30370594,87471947
1,5,10,15,13,2,4,2,50,1,1,31173758,86133871
1,5,11,21,30,1,1,2,55,1,1,33032408,85290440
1,5,11,15,58,1,1,2,25,1,0,32200879,86132972
1,5,12,5,23,1,1,2,45,1,0,34010339,86554639
1,5,12,13,2,2,3,2,40,1,0,34114056,86585926
1,5,12,18,30,1,1,1,25,1,1,34044421,86515903
1,5,13,2,0,1,2,2,50,1,1,33361184,86283726
1,5,13,14,55,1,4,2,70,2,0,32354549,88132282
1,5,13,17,40,1,2,3,70,1,0,33335199,86382051
1,5,14,4,15,2,2,3,70,1,0,33302495,86413383
1,5,14,20,30,1,1,2,45,1,1,33452727,87063481
1,5,15,7,20,2,3,2,55,1,0,33550147,87190148
1,5,20,9,49,2,3,2,55,1,0,34141544,86562613
1,5,14,17,55,1,1,2,55,1,0,31494833,86480738
1,5,20,17,10,1,1,2,45,1,0,34182846,86461176
1,5,21,0,37,1,1,2,70,1,0,32351870,85273205
1,5,16,10,0,1,1,2,45,1,0,33461755,86252394
1,5,22,21,50,1,2,2,70,1,0,32530407,87541972
1,5,16,18,20,1,2,2,45,1,0,32051060,86473131
1,5,16,16,52,2,3,2,25,2,0,32211836,86192990
1,5,23,5,5,1,1,2,45,1,1,32341231,86174009
1,5,17,16,35,2,3,2,70,1,1,33043702,87411671
1,5,23,11,0,1,1,2,55,1,0,33460463,86272587
1,5,23,17,35,1,1,2,45,1,0,31112780,85353808
1,5,18,12,15,3,6,2,45,1,0,34491203,86585924
1,5,23,17,45,1,2,2,55,1,0,30311715,87291994
1,5,18,17,45,2,4,2,55,1,0,34124124,87550415
1,5,19,19,0,1,1,2,55,1,1,34252310,87150993
1,5,19,15,30,2,5,2,60,1,0,34320106,86352410
1,5,19,21,20,2,3,2,45,1,1,30333452,88132968
1,5,24,1,35,1,1,2,55,1,1,34215743,85364890
1,5,20,6,20,2,2,2,55,1,1,30300652,88102856
1,5,24,18,22,1,1,2,70,1,0,33514034,86172261
1,5,24,15,45,3,4,2,55,1,0,30472905,88180623
1,5,24,6,28,2,2,3,55,1,0,34362165,85592814
1,5,24,3,40,1,1,2,65,1,0,34454214,88011167
1,5,25,13,30,1,1,2,45,1,1,32261061,87361475
1,5,26,15,55,2,4,2,50,2,0,33081829,86412195
1,5,25,18,40,1,1,2,55,1,0,32423989,87114610
1,5,26,9,44,1,2,2,65,1,0,34453109,88054714
1,5,25,1,0,1,1,2,35,1,1,34533985,87421622
1,5,27,3,0,1,1,2,25,1,0,33344974,85532208
1,5,25,22,0,2,6,2,55,1,0,32184337,86205983
1,5,25,5,45,1,2,2,55,1,0,31304819,85342390
1,5,29,8,45,1,4,2,65,1,0,31444578,85141065
1,5,31,5,45,2,2,2,55,1,0,30312953,87450310
1,5,31,14,27,2,3,2,65,1,0,34095069,85481148
1,5,29,22,25,1,5,2,70,1,0,33133487,86482627
1,4,8,21,15,1,2,2,70,1,0,32400305,85200958
1,4,17,15,8,2,2,4,45,1,0,33572603,86022069
1,5,30,4,53,2,2,2,55,1,0,31202605,87140600
1,4,18,22,30,1,2,4,40,2,0,31120132,85235169
1,4,28,14,40,2,4,4,40,1,0,30433815,88101347
1,4,28,6,0,1,1,3,35,1,1,32230644,86162143
1,5,3,2,12,1,1,2,55,1,0,31142194,85301336
1,5,4,0,44,2,2,2,40,1,1,30212056,87395892
1,5,6,4,1,1,1,2,30,1,1,30445755,88073749
1,5,9,3,11,1,1,2,45,1,0,31090040,85275303
1,5,13,1,28,1,1,2,45,1,1,33161857,86470907
1,5,13,4,15,1,2,4,35,1,1,30430030,88061288
1,5,18,23,55,1,2,2,55,1,2,32201819,86220275
1,4,24,20,18,2,5,2,40,1,0,32251985,87012746
1,5,3,11,45,2,4,4,40,1,0,34492383,87405575
1,5,20,14,45,1,1,2,45,1,0,31112273,86224744
1,4,13,12,40,1,1,2,55,1,0,34211739,86371885
1,5,26,0,15,1,1,2,35,1,1,32324220,88120046
1,6,1,17,45,1,1,2,45,1,0,30401260,88073949
1,6,1,18,35,2,4,2,55,1,0,31471371,85094640
1,6,4,12,56,1,2,3,70,2,0,34430785,86375494
1,4,21,0,20,2,5,2,45,3,0,30333494,88120917
1,6,4,21,30,1,5,2,70,1,0,30504652,88043692
1,6,6,1,25,1,1,2,40,1,1,30391198,88104299
1,6,9,12,32,2,2,2,25,1,0,31521571,85084768
1,6,10,17,16,2,2,3,45,1,0,33120011,87335731
1,6,11,1,45,1,1,2,40,1,0,33233084,87004787
1,6,12,18,23,2,6,2,55,2,0,31555634,85093844
1,6,13,15,27,1,3,2,45,1,0,33592080,85575994
1,6,20,1,5,1,2,2,25,1,1,34255978,86555929
1,6,14,18,21,1,1,4,55,1,0,33174066,86210715
1,6,15,15,10,2,6,2,45,1,0,30160623,87352937
1,6,24,0,30,1,1,2,40,1,0,31123721,85285382
1,6,25,16,35,2,3,4,40,1,0,34421207,86340992
1,6,15,21,45,1,4,4,55,1,1,34182076,86172307
1,6,16,5,30,1,3,2,25,1,0,33454254,86491631
1,6,18,3,45,1,1,2,65,1,0,31203995,85330436
1,6,28,7,45,1,1,2,35,1,0,33363918,86353232
1,6,28,7,40,2,2,2,50,1,0,34215869,86000554
1,6,29,1,19,2,2,4,35,1,0,33104090,87325497
1,6,28,6,10,2,2,2,45,1,0,31131756,85211534
1,6,30,20,49,1,2,2,35,1,0,33412140,86375000
1,6,3,18,12,1,1,2,45,1,0,34084109,86462393
1,6,1,6,48,2,2,2,45,1,0,31181267,86233971
1,6,4,11,30,1,1,2,70,1,0,34580424,86530941
1,6,1,14,21,4,5,2,30,2,0,32203560,86235593
1,6,4,7,20,2,2,2,55,1,0,33402568,86165214
1,6,5,19,25,1,1,2,70,1,0,33141641,87092265
1,6,1,22,45,1,1,2,35,1,0,34041063,85544703
1,6,2,17,30,1,2,2,45,1,1,32551715,86453267
1,6,6,0,40,2,2,2,55,1,0,32105454,86070283
1,6,6,15,35,1,1,2,45,1,0,32140561,85423389
1,6,6,12,45,1,2,2,35,1,1,34025430,86091158
1,6,6,12,25,2,4,2,55,1,0,33364262,86575211
1,6,6,9,0,2,2,2,50,1,0,33273165,86201179
1,6,7,13,20,1,5,2,70,2,0,33040820,86434849
1,6,9,13,33,1,2,1,65,1,0,32214798,86130132
1,6,7,12,30,2,2,2,45,1,0,34033047,86240823
1,6,9,10,20,2,5,2,55,1,0,30383434,88193362
1,6,7,19,36,2,2,3,45,1,1,34440580,86380162
1,6,8,21,13,1,1,2,50,1,0,33322085,86215828
1,6,8,2,50,1,1,2,30,1,1,32205357,86213953
1,6,9,10,55,1,1,2,45,1,0,34321859,86300092
1,6,10,12,30,3,5,2,45,2,0,31300345,88233419
1,6,10,17,55,1,1,2,45,1,1,34324002,87570397
1,6,10,15,30,2,7,2,55,2,0,31235113,86154335
1,6,12,17,55,2,2,2,55,1,0,33410130,86031697
1,6,10,19,0,1,5,2,45,1,1,33503167,88081623
1,6,13,5,50,1,1,2,55,1,0,30261560,88094563
1,6,14,21,15,1,5,2,35,1,1,33480879,85472735
1,6,14,19,50,2,2,2,55,1,1,33570922,87194767
1,6,15,9,40,1,1,2,30,1,0,30281092,88220746
1,6,15,17,4,3,7,3,65,1,0,30375248,88062585
1,6,15,14,15,1,1,2,55,1,0,33162637,87155162
1,6,16,22,27,1,3,2,35,1,1,34405796,86300486
1,6,16,17,40,2,5,2,55,1,0,31012681,85402074
1,6,16,16,34,1,1,2,65,1,0,34312515,86351957
1,6,16,20,50,1,1,2,40,1,0,33081772,85330469
1,6,16,7,30,1,2,2,55,1,1,32260845,87212980
1,6,17,3,30,1,1,2,45,1,0,32291957,86085780
1,6,17,10,0,1,6,4,70,1,0,32033885,86292627
1,6,17,4,15,1,1,2,55,1,0,33223715,87415797
1,6,17,3,50,1,1,2,55,1,1,33033316,86555531
1,6,17,6,45,1,1,2,40,1,0,31192160,87072089
1,6,19,1,40,1,3,2,35,1,1,33351593,85405897
1,6,19,10,0,2,4,2,65,2,0,33053485,86124605
1,6,19,4,10,1,2,4,65,1,0,34351615,86060053
1,6,20,19,27,2,2,2,65,1,0,31143405,85341382
1,6,20,15,45,2,6,2,65,2,0,34425136,87464338
1,6,20,18,25,2,2,2,55,1,0,30350912,88083497
1,6,21,16,43,2,4,2,65,1,0,31020289,85242435
1,6,23,10,10,2,3,2,45,1,0,32411116,85343795
1,6,23,23,25,1,3,2,45,1,0,30284691,88140214
1,6,23,17,25,1,2,2,45,2,1,31494585,86061420
1,6,24,16,45,1,1,2,45,1,0,31171538,85265060
1,6,24,17,40,2,4,2,55,1,1,34580214,86475434
1,6,24,16,50,3,8,4,70,1,0,33365123,85444421
1,6,25,18,10,1,1,2,45,1,1,34512529,85434309
1,6,26,15,45,1,5,2,45,1,2,32095251,85182417
1,6,26,6,30,2,2,1,99,1,0,33414194,86313461
1,6,26,20,45,3,5,2,70,2,0,30412002,88022063
